Temp,DO,NH4,NO2,ABW,DOC
29.2,6.46,3.6,0.12,0.92,24.0
29,7.23,2.7,0.12,1.08,25.0
28.2,8.99,2.5,0.14,1.24,26.0
28.8,9.57,1.3,0.14,1.4,27.0
28.5,9.12,0.5,0.15,1.5599999999999998,28.0
29.1,7.87,0.25,0.15,1.72,29.0
28.9,6.32,0.4,0.15,1.96,30.0
28.8,6.81,0.8,0.2,2.2,31.0
28.7,6.02,1.6,0.26,2.4400000000000004,32.0
27.6,6.18,1.5,0.28,2.6800000000000006,33.0
27.1,6.39,2.8,0.35,2.91,34.0
27,7.21,2.6,0.45,3.0900000000000003,35.0
28.5,7.03,2.2,0.7,3.2700000000000005,36.0
28.3,6.06,2.6,0.8,3.4500000000000006,37.0
29,5.92,3,1.1,3.630000000000001,38.0
29.2,7.17,3,1.3,3.82,39.0
29.1,7.03,2.6,1.3,4.14,40.0
28.8,6.13,1.7,1.5,4.46,41.0
29,6.21,1.5,1.5,4.78,42.0
29,6.11,0.9,1.6,5.1000000000000005,43.0
28,5.93,1.3,2,5.43,44.0
28.4,5.81,1.4,2,5.949999999999999,45.0
28.7,5.88,1.9,2.1,6.469999999999999,46.0
28.5,6.17,2.1,2.1,6.989999999999998,47.0
28.1,6.53,2.3,2.2,7.509999999999998,48.0
28.3,6.59,1.8,2.3,8.02,49.0
28.7,6.41,1.5,2.3,8.379999999999999,50.0
28.6,6.75,1.5,2.3,8.739999999999998,51.0
28.7,6.31,1.2,2.4,9.099999999999998,52.0
28.6,6.84,1.4,2.3,9.459999999999997,53.0
28.5,7.03,1.1,2.5,9.82,54.0
28.2,6.81,0.8,2.6,10.33,55.0
28.6,6.52,0.4,2.6,10.84,56.0
28.9,6.63,0.5,2.6,11.35,57.0
28.1,6.25,0.4,2.7,11.86,58.0
28,6.01,1.8,2.7,12.38,59.0
28.6,6.13,2.8,2.6,12.850000000000001,60.0
28.6,5.79,3.7,2.5,13.320000000000002,61.0
28.9,6.15,4.2,2.6,13.790000000000003,62.0
28.8,6.32,3.8,2.6,14.260000000000003,63.0
28.5,4.98,4.1,2.7,14.74,64.0
28.6,5.23,3.8,3.4,14.884,65.0
28.7,5.61,3.8,3.4,15.028,66.0
28.4,5.34,3.6,3.3,15.172,67.0
28.6,5.78,3.5,4.7,15.316,68.0
28.5,5.46,3.3,4.5,15.46,69.0
27.9,6.05,2.9,4.5,15.604000000000001,70.0
28.3,5.76,2.7,4.5,15.748000000000001,71.0
28.6,5.88,2.7,4.3,15.892000000000001,72.0
28.6,,2.8,4.5,16.036,73.0
