Temp,DO,NH4,NO2,ABW,DOC,ABW.1,ADG
29.9,5.85,3.0,2.5,19.51,95,19.51,0.32
29.6,7.03,3.0,2.5,19.83,96,19.83,0.32
29.9,7.1,3.0,2.5,20.17,97,20.17,0.34
29.8,6.81,2.0,2.5,20.71,98,20.71,0.54
30.3,5.02,2.0,3.0,21.25,99,21.25,0.54
29.8,5.59,3.0,4.0,21.79,100,21.79,0.54
29.8,6.13,3.0,4.5,22.33,101,22.33,0.54
29.8,5.72,4.0,5.0,22.86,102,22.86,0.53
28.9,5.94,3.0,6.0,22.91654485,103,22.91654485,0.05654485
29.4,6.08,3.0,7.0,22.9730897,104,22.9730897,0.05654485
29.8,6.05,3.0,6.0,23.02963455,105,23.02963455,0.05654485
29.8,6.38,3.0,8.0,23.0861794,106,23.0861794,0.05654485
29.6,5.97,2.5,6.5,23.14272425,107,23.14272425,
28.7,7.35,1.4,,0.012166667,1,0.012166667,
28.9,6.95,0.3,0.02,0.023333333,2,0.023333333,0.011166667
27.2,8.52,0.3,,0.0345,3,0.0345,0.011166667
28.3,7.59,0.3,0.02,0.045666667,4,0.045666667,0.011166667
28.5,7.56,0.25,,0.056833333,5,0.056833333,0.011166667
28.6,7.83,0.2,0.03,0.068,6,0.068,0.011166667
28.1,6.76,0.25,,0.079166667,7,0.079166667,0.011166667
27.6,7.12,0.3,0.07,0.090333333,8,0.090333333,0.011166667
28.0,6.12,0.5,,0.1015,9,0.1015,0.011166667
27.9,6.41,0.7,0.07,0.1715,10,0.1715,0.07
28.3,7.13,0.75,,0.2415,11,0.2415,0.07
28.6,6.82,0.8,0.05,0.3115,12,0.3115,0.07
28.4,7.74,1.15,,0.3815,13,0.3815,0.07
28.2,6.93,1.5,0.075,0.4515,14,0.4515,0.07
28.3,6.42,1.5,0.08,0.5215,15,0.5215,0.07
28.0,7.02,1.5,0.07,0.5915,16,0.5915,0.07
27.9,6.58,1.5,,0.6615,17,0.6615,0.07
27.8,5.36,1.5,0.08,0.7315,18,0.7315,0.07
28.4,4.72,1.65,,0.831,19,0.831,0.0995
28.2,5.14,1.8,0.1,0.9188,20,0.9188,0.0878
28.2,7.52,1.8,0.15,1.0066,21,1.0066,0.0878
28.3,5.29,1.5,0.15,1.0944,22,1.0944,0.0878
28.4,6.27,1.7,0.2,1.1822,23,1.1822,0.0878
28.0,7.25,1.5,0.17,1.27,24,1.27,0.0878
27.9,6.47,1.5,0.21,1.334,25,1.334,0.064
27.9,5.32,1.7,0.22,1.398,26,1.398,0.064
27.6,5.67,2.5,0.25,1.462,27,1.462,0.064
27.6,6.78,2.3,0.25,1.526,28,1.526,0.064
27.4,7.01,1.9,0.27,1.59,29,1.59,0.064
27.3,6.58,2.3,0.28,1.794,30,1.794,0.204
27.2,6.47,2.3,0.3,1.998,31,1.998,0.204
27.4,6.71,2.3,0.35,2.202,32,2.202,0.204
27.4,6.91,1.8,0.3,2.406,33,2.406,0.204
27.7,6.32,2.3,0.35,2.61,34,2.61,0.204
27.4,6.47,2.3,0.45,2.902,35,2.902,0.292
27.3,6.09,2.8,0.5,3.194,36,3.194,0.292
27.8,5.75,3.0,0.5,3.486,37,3.486,0.292
27.6,6.04,2.5,0.75,3.778,38,3.778,0.292
27.1,6.22,3.0,0.85,4.07,39,4.07,0.292
27.2,5.73,3.0,0.85,4.27,40,4.27,0.2
27.3,4.99,3.0,0.9,4.47,41,4.47,0.2
26.5,6.01,4.0,0.9,4.67,42,4.67,0.2
27.0,5.29,5.0,1.0,4.87,43,4.87,0.2
26.9,5.16,4.0,1.0,5.07,44,5.07,0.2
27.0,5.74,5.0,2.5,5.27,45,5.27,0.2
27.1,5.78,5.0,2.5,5.428,46,5.428,0.158
27.2,5.64,6.0,3.0,5.586,47,5.586,0.158
26.9,6.34,7.0,3.3,5.744,48,5.744,0.158
27.5,5.68,5.5,3.5,5.86,49,5.86,0.116
27.4,5.83,6.0,3.5,6.106666667,50,6.106666667,0.246666667
27.5,6.32,6.0,3.5,6.353333333,51,6.353333333,0.246666667
