Temp;DO;NH4;NO2;ABW;DOC;ABW
27;5.74;5;2.5;5.27;45;5.27
27.1;5.78;5;2.5;5.428;46;5.428
27.2;5.64;6;3;5.586;47;5.586
26.9;6.34;7;3.3;5.744;48;5.744
27.5;5.68;5.5;3.5;5.86;49;5.86
27.4;5.83;6;3.5;6.106666667;50;6.106666667
27.5;6.32;6;3.5;6.353333333;51;6.353333333
27.5;6.22;6;4.1;6.6;52;6.6
27.7;4.27;6;3.6;6.846666667;53;6.846666667
27.9;4.97;7;3.5;7.093333333;54;7.093333333
27.8;5.34;8;3.6;7.34;55;7.34
27.9;5.67;7;3.6;7.14;56;7.14
30.4;7.01;0.1;0.05;0.0119;1;0.0119
29.3;6.81;;;0.0228;2;0.0228
29.4;6.23;0.3;0.03;0.0337;3;0.0337
27.3;7.23;;;0.0446;4;0.0446
28.5;6.79;0.3;0.03;0.0555;5;0.0555
28.6;6.43;;;0.0664;6;0.0664
28.7;5.81;0.3;0.02;0.0773;7;0.0773
28.4;5.43;;;0.0882;8;0.0882
28.1;6.74;0.7;0.05;0.0991;9;0.0991
28.1;7.84;;;0.11;10;0.11
27.9;9.48;0.5;0.05;0.18;11;0.18
28.6;10.68;;;0.25;12;0.25
28.7;8.75;0.4;0.06;0.32;13;0.32
28.4;8.24;;;0.39;14;0.39
28.4;7.67;0.4;0.05;0.46;15;0.46
28.5;6.89;0.3;0.06;0.53;16;0.53
28.1;7.27;0.3;0.05;0.6;17;0.6
28.1;7.64;;;0.67;18;0.67
28;7.24;0.5;0.05;0.74;19;0.74
28.8;6.02;;;0.8365;20;0.8365
28.5;6.24;0.6;0.05;0.9032;21;0.9032
28.3;6.98;1;0.06;0.9699;22;0.9699
28.2;4.49;1.7;0.05;1.0366;23;1.0366
28.3;4.69;2.7;0.06;1.1033;24;1.1033
28;5.09;2.7;0.05;1.17;25;1.17
27.8;5.21;2.7;0.05;1.248;26;1.248
27.9;6.76;2.7;0.05;1.326;27;1.326
27.6;7.19;2.2;0.07;1.404;28;1.404
27.6;6.24;1.5;0.07;1.482;29;1.482
27.4;5.42;1.7;0.05;1.56;30;1.56
27.3;4.46;2.5;0.1;1.85;31;1.85
27.3;5.11;2.7;0.07;2.14;32;2.14
27.4;6.43;2.7;0.07;2.43;33;2.43
27.4;5.74;2.3;0.1;2.72;34;2.72
27.7;5.41;2.5;0.13;3.01;35;3.01
27.5;6.75;2.1;0.15;3.222;36;3.222
27.4;6.53;1.9;0.13;3.434;37;3.434
27.8;5.87;2.4;0.15;3.646;38;3.646
27.6;5.58;2.5;0.15;3.858;39;3.858
27.1;5.85;2.5;0.2;4.07;40;4.07
27.1;4.72;3;0.22;4.242;41;4.242
27.4;3.74;4;0.25;4.414;42;4.414
